University Name,University URL
University of Oxford,https://www.ox.ac.uk
University of Cambridge,https://www.cam.ac.uk
University College London,https://www.ucl.ac.uk
University of Edinburgh,https://www.ed.ac.uk
Imperial College London,https://www.imperial.ac.uk
University of Manchester,https://manchester.ac.uk
King's College London,https://www.kcl.ac.uk
University of Glasgow,https://www.gla.ac.uk
University of Leeds,https://leeds.ac.uk
University of Bristol,https://bristol.ac.uk
University of Birmingham,https://birmingham.ac.uk
University of Nottingham,https://nottingham.ac.uk
University of Sheffield,https://www.sheffield.ac.uk
University of Southampton,https://www.southampton.ac.uk
University of Warwick,https://warwick.ac.uk
London School of Economics and Political Science,https://www.lse.ac.uk
University of Liverpool,https://www.liverpool.ac.uk
Newcastle University,https://www.ncl.ac.uk
University of York,https://york.ac.uk
Queen Mary University of London,https://qmul.ac.uk
University of Exeter,https://www.exeter.ac.uk
Cardiff University,https://www.cardiff.ac.uk
Durham University,https://www.dur.ac.uk
University of Leicester,https://le.ac.uk
University of Sussex,https://www.sussex.ac.uk
University of St Andrews,https://www.st-andrews.ac.uk
University of Aberdeen,https://www.abdn.ac.uk
University of Reading,http://www.reading.ac.uk
Queen's University Belfast,https://www.qub.ac.uk
University of Surrey,https://www.surrey.ac.uk
University of London,https://london.ac.uk
University of East Anglia,https://www.uea.ac.uk
University of Bath,https://www.bath.ac.uk
University of Strathclyde,https://www.strath.ac.uk
Lancaster University,https://www.lancaster.ac.uk
Loughborough University,https://www.lboro.ac.uk
University of Dundee,https://www.dundee.ac.uk
University of Kent,https://www.kent.ac.uk
Swansea University,https://swansea.ac.uk
University of Essex,https://essex.ac.uk
Ulster University,https://www.ulster.ac.uk
Brunel University London,https://www.brunel.ac.uk
Heriot-Watt University,https://hw.ac.uk
University of Hull,https://www.hull.ac.uk
"Birkbeck, University of London",https://www.bbk.ac.uk
Bangor University,https://www.bangor.ac.uk
"Royal Holloway, University of London",https://royalholloway.ac.uk
Cranfield University,https://www.cranfield.ac.uk
University of Plymouth,https://plymouth.ac.uk
University of Stirling,https://www.stir.ac.uk
University of Portsmouth,https://www.port.ac.uk
Manchester Metropolitan University,https://www.mmu.ac.uk
Keele University,https://www.keele.ac.uk
University of Salford,https://salford.ac.uk
Northumbria University,https://www.northumbria.ac.uk
Aberystwyth University,https://www.aber.ac.uk
Aston University,https://www.aston.ac.uk
Liverpool John Moores University,https://www.ljmu.ac.uk
Nottingham Trent University,https://www.ntu.ac.uk
University of the West of England,https://www.uwe.ac.uk
University of Hertfordshire,https://www.herts.ac.uk
Sheffield Hallam University,https://www.shu.ac.uk
University of Bradford,https://www.bradford.ac.uk
"Goldsmiths, University of London",https://gold.ac.uk
Coventry University,https://www.coventry.ac.uk
"St George's, University of London",https://www.sgul.ac.uk
Oxford Brookes University,http://www.brookes.ac.uk
De Montfort University,https://www.dmu.ac.uk
Middlesex University,https://mdx.ac.uk
University of Brighton,https://www.brighton.ac.uk
University of Huddersfield,https://www.hud.ac.uk
University of Westminster,https://www.westminster.ac.uk
Bournemouth University,https://www.bournemouth.ac.uk
University of Central Lancashire,https://www.uclan.ac.uk
University of Greenwich,https://www.gre.ac.uk
"SOAS, University of London",https://www.soas.ac.uk
Kingston University,https://www.kingston.ac.uk
Anglia Ruskin University,https://aru.ac.uk
Glasgow Caledonian University,https://www.gcu.ac.uk
University of Wolverhampton,https://www.wlv.ac.uk
Leeds Beckett University,https://www.leedsbeckett.ac.uk
Edinburgh Napier University,https://www.napier.ac.uk
London South Bank University,https://lsbu.ac.uk
Royal Veterinary College University of London,https://www.rvc.ac.uk
University of East London,https://www.uel.ac.uk
Birmingham City University,https://www.bcu.ac.uk
London Metropolitan University,https://www.londonmet.ac.uk
University of Wales,https://www.wales.ac.uk
Teesside University,https://tees.ac.uk
University of Derby,https://www.derby.ac.uk
Staffordshire University,https://staffs.ac.uk
University of Roehampton,https://www.roehampton.ac.uk
Robert Gordon University,https://rgu.ac.uk
University of Bedfordshire,https://beds.ac.uk
University of Sunderland,https://www.sunderland.ac.uk
